id,train_raw,station_raw,distance_raw,address_raw,price_raw,space_raw,room_raw,from_raw,contract_taw,type_raw,station,train,distance,price,space,room,from
1,湘南新宿ライン宇須,保土ヶ谷,バス,西区元久保町,21万円,60〜80m²,3LDK,1983年から,2013年4月〜,二種中高層,99,1,5,21,4,3,1983
2,東海道本線,川崎,徒歩15分以内,鶴見区尻手,35万円,60〜80m²,2SLDK,2000年から,2013年4月〜,準工業,9,2,3,35,4,2,2000
3,東海道本線,川崎,バス,鶴見区朝日町,19万円,60〜80m²,3LDK,1982年から,2013年7月〜,準工業,9,2,5,19,4,3,1982
4,東海道本線,横浜,徒歩5分以内,神奈川区金港町,92万円,60〜80m²,2LDK,2006年から,2013年10月〜,工業,19,2,1,92,4,2,2006
5,東海道本線,横浜,徒歩5分以内,神奈川区金港町,98万円,60〜80m²,2LDK,2006年から,2014年1月〜,工業,19,2,1,98,4,2,2006
6,東海道本線,横浜,徒歩5分以内,神奈川区金港町,103万円,60〜80m²,2LDK,2006年から,2014年1月〜,工業,19,2,1,103,4,2,2006
7,東海道本線,横浜,徒歩5分以内,神奈川区金港町,127万円,80〜100m²,2LDK,2006年から,2013年1月〜,工業,19,2,1,127,5,2,2006
8,東海道本線,横浜,徒歩5分以内,神奈川区金港町,137万円,80〜100m²,2LDK,2006年から,2013年4月〜,工業,19,2,1,137,5,2,2006
9,東海道本線,横浜,徒歩5分以内,神奈川区台町,26万円,20〜40m²,ワンルーム,1981年から,2014年1月〜,商業,19,2,1,26,2,1,1981
10,東海道本線,横浜,徒歩5分以内,神奈川区台町,27万円,20〜40m²,ワンルーム,1981年から,2014年1月〜,商業,19,2,1,27,2,1,1981
11,東海道本線,横浜,徒歩5分以内,神奈川区台町,27万円,20〜40m²,ワンルーム,1981年から,2013年10月〜,商業,19,2,1,27,2,1,1981
12,東海道本線,横浜,徒歩5分以内,神奈川区台町,30万円,20〜40m²,ワンルーム,1981年から,2013年10月〜,商業,19,2,1,30,2,1,1981
13,東海道本線,横浜,徒歩5分以内,西区高島,28万円,20〜40m²,ワンルーム,1977年から,2013年4月〜,商業,19,2,1,28,2,1,1977
14,東海道本線,横浜,徒歩5分以内,西区高島,35万円,0〜20m²,ワンルーム,1977年から,2014年1月〜,商業,19,2,1,35,1,1,1977
15,東海道本線,横浜,徒歩5分以内,西区高島,37万円,0〜20m²,ワンルーム,1977年から,2013年4月〜,商業,19,2,1,37,1,1,1977
16,東海道本線,横浜,徒歩5分以内,西区高島,89万円,60〜80m²,2SLDK,2006年から,2013年10月〜,商業,19,2,1,89,4,2,2006
17,東海道本線,横浜,徒歩5分以内,西区高島,90万円,60〜80m²,2SLDK,2006年から,2013年10月〜,商業,19,2,1,90,4,2,2006
18,東海道本線,横浜,徒歩5分以内,西区高島,91万円,60〜80m²,2SLDK,2006年から,2014年1月〜,商業,19,2,1,91,4,2,2006
19,東海道本線,横浜,徒歩5分以内,西区高島,93万円,40〜60m²,1LDK,2006年から,2013年10月〜,商業,19,2,1,93,3,1,2006
20,東海道本線,横浜,徒歩5分以内,西区高島,93万円,80〜100m²,3SLDK,2006年から,2014年1月〜,商業,19,2,1,93,5,3,2006
